Rank,Name_Org,Forbes_ID,Net_Worth_($B),age,Age_Range_How_Old,Country_Working_In,Source_Of_WealthCompany,Industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
1,Bernard Arnault & family,bernard-arnault,211,74,8,France,LVMH,Fashion & Retail,74,LVMH,6,1,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",1,0,0,0,0
2,Elon Musk,elon-musk,180,51,6,United States,"Tesla, SpaceX",Automotive,52,"Tesla, SpaceX, Self Made",8,1,"Austin, Texas",United States,Single,10,"Bachelor of Arts/Science, University of Pennsylvania",1,0,0,0,1
3,Jeff Bezos,jeff-bezos,114,59,6,United States,Amazon,Technology,59,"Amazon, Self Made",8,2,"Medina, Washington",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University",1,0,0,0,1
4,Larry Ellison,larry-ellison,107,78,8,United States,Oracle,Technology,79,"Oracle, Self Made",9,1,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",0,0,0,1,1
5,Warren Buffett,warren-buffett,106,92,10,United States,Berkshire Hathaway,Finance & Investments,92,"Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",1,1,0,0,1
6,Bill Gates,bill-gates,104,67,7,United States,Microsoft,Technology,67,"Microsoft, Self Made",8,5,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",0,0,0,1,1
7,Michael Bloomberg,michael-bloomberg,94,81,9,United States,Bloomberg LP,Media & Entertainment,81,"Bloomberg LP, Self Made",8,4,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",1,1,0,0,1
8,Carlos Slim Helu & family,carlos-slim-helu,93,83,9,Mexico,Telecom,Telecom,83,"Telecom, Self Made",6,1,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",1,0,0,0,1
9,Mukesh Ambani,mukesh-ambani,83,65,7,India,Diversified,Diversified,66,Diversified,6,1,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",1,0,0,1,0
10,Steve Ballmer,steve-ballmer,80,67,7,United States,Microsoft,Technology,67,"Microsoft, Self Made",6,2,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",1,0,0,1,1
11,Francoise Bettencourt Meyers & family,francoise-bettencourt-meyers,80,69,7,France,L'Oréal,Fashion & Retail,70,L'Oréal,6,1,"Paris, France",France,Married,2,Unknown,0,0,0,0,0
12,Larry Page,larry-page,79,50,5,United States,Google,Technology,50,"Google, Self Made",8,1,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",1,1,0,0,1
13,Amancio Ortega,amancio-ortega,77,87,9,Spain,Zara,Fashion & Retail,87,"Zara, Self Made",6,1,"La Coruna, Spain",Spain,Married,3,Unknown,0,0,0,0,1
14,Sergey Brin,sergey-brin,76,49,5,United States,Google,Technology,50,"Google, Self Made",9,2,"Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",1,1,0,0,1
15,Zhong Shanshan,zhong-shanshan,68,68,7,China,"Beverages, pharmaceuticals",Food & Beverage,68,"Beverages, pharmaceuticals, Self Made",6,1,"Hangzhou, China",China,Unknown,1,Unknown,0,0,0,0,1
16,Mark Zuckerberg,mark-zuckerberg,64,38,4,United States,Facebook,Technology,39,"Facebook, Self Made",8,3,"Palo Alto, California",United States,Married,3,"Drop Out, Harvard University",0,0,0,1,1
17,Charles Koch,charles-koch,59,87,9,United States,Koch Industries,Diversified,87,Koch Industries,5,2,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",1,1,0,0,0
17,Julia Koch & family,julia-koch,59,60,6,United States,Koch Industries,Diversified,61,Koch Industries,1,2,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas",1,0,0,0,0
19,Jim Walton,jim-walton,58,74,8,United States,Walmart,Fashion & Retail,75,Walmart,2,1,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas",1,0,0,0,0
20,Rob Walton,rob-walton,57,78,8,United States,Walmart,Fashion & Retail,78,Walmart,4,1,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",1,0,0,0,0
21,Alice Walton,alice-walton,56,73,8,United States,Walmart,Fashion & Retail,73,Walmart,1,2,"Fort Worth, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Trinity University",1,0,0,0,0
22,David Thomson & family,david-thomson,54,65,7,Canada,Media,Media & Entertainment,66,Media,6,1,"Toronto, Canada",Canada,Divorced,4,"Master of Arts, University of Cambridge",0,1,0,0,0
23,Michael Dell,michael-dell,50,58,6,United States,Dell Technologies,Technology,58,"Dell Technologies, Self Made",8,2,"Austin, Texas",United States,Married,4,"Drop Out, The University of Texas at Austin",0,0,0,1,1
24,Gautam Adani,gautam-adani-1,47,60,6,India,"Infrastructure, commodities",Diversified,61,"Infrastructure, commodities, Self Made",6,1,"Ahmedabad, India",India,Married,2,Unknown,0,0,0,0,1
25,Phil Knight & family,phil-knight,45,85,9,United States,Nike,Fashion & Retail,85,"Nike, Self Made",8,3,"Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",1,1,0,0,1
26,Zhang Yiming,zhang-yiming,45,39,4,China,TikTok,Technology,39,"TikTok, Self Made",6,1,"Beijing, China",China,Unknown,2,"Bachelor of Engineering, Nankai University",1,0,0,0,1
27,Dieter Schwarz,dieter-schwarz,42,83,9,Germany,Retail,Fashion & Retail,83,Retail,6,1,"Neckarsulm, Germany",Germany,Married,2,Unknown,0,0,0,0,0
28,François Pinault & family,francois-pinault,40,86,9,France,Luxury goods,Fashion & Retail,87,"Luxury goods, Self Made",6,1,"Paris, France",France,Married,3,"Drop Out, High School",0,0,0,1,1
29,Klaus-Michael Kuehne,klaus-michael-kuehne,39,85,9,Germany,Shipping,Logistics,86,Shipping,6,1,"Schindellegi, Switzerland",Germany,Married,2,Unknown,0,0,0,0,0
30,Giovanni Ferrero,giovanni-ferrero,38,58,6,Italy,"Nutella, chocolates",Food & Beverage,58,"Nutella, chocolates",4,1,"Brussels, Belgium",Italy,Married,2,Unknown,0,0,0,0,0
31,Jacqueline Mars,jacqueline-mars,38,83,9,United States,"Candy, pet food",Food & Beverage,83,"Candy, pet food",2,1,"The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",1,0,0,0,0
31,John Mars,john-mars,38,87,9,United States,"Candy, pet food",Food & Beverage,87,"Candy, pet food",2,1,"Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",1,0,0,0,0
33,Li Ka-shing,li-ka-shing,38,94,10,Hong Kong,Diversified,Diversified,95,"Diversified, Self Made",6,1,Hong Kong,Hong Kong,Widowed,2,"Drop Out, High School",0,0,0,1,1
34,Ma Huateng,ma-huateng,35,51,6,China,Internet media,Technology,51,"Internet media, Self Made",6,1,"Shenzhen, China",China,Married,2,"Bachelor of Arts/Science, Shenzhen University",1,0,0,0,1
35,Miriam Adelson & family,miriam-adelson,35,77,8,United States,Casinos,Gambling & Casinos,77,Casinos,2,2,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem",1,0,0,0,0
35,Ken Griffin,ken-griffin,35,54,6,United States,Hedge funds,Finance & Investments,54,"Hedge funds, Self Made",8,1,"Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",1,0,0,0,1
37,Mark Mateschitz,mark-mateschitz,34,30,3,Austria,Red Bull,Food & Beverage,31,Red Bull,6,1,"Salzburg, Austria",Austria,Single,2,Unknown,0,0,0,0,0
38,Robin Zeng,robin-zeng,33,54,6,Hong Kong,Batteries,Automotive,54,"Batteries, Self Made",6,1,"Ningde, China",Hong Kong,Unknown,2,"Doctorate, Chinese Academy of Social Sciences",0,0,1,0,1
39,Tadashi Yanai & family,tadashi-yanai,32,74,8,Japan,Fashion retail,Fashion & Retail,74,"Fashion retail, Self Made",6,1,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, Waseda University",1,0,0,0,1
40,Len Blavatnik,len-blavatnik,32,65,7,United States,"Music, chemicals",Diversified,66,"Music, chemicals, Self Made",9,2,"London, United Kingdom",United States,Married,2,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",1,1,0,0,1
41,Alain Wertheimer,alain-wertheimer,31,74,8,France,Chanel,Fashion & Retail,74,Chanel,6,1,"New York, New York",France,Married,3,Unknown,0,0,0,0,0
41,Gerard Wertheimer,gerard-wertheimer-1,31,72,8,France,Chanel,Fashion & Retail,72,Chanel,6,1,"New York, New York",France,Married,2,Unknown,0,0,0,0,0
43,Gianluigi Aponte,gianluigi-aponte,31,82,9,Switzerland,Shipping,Logistics,83,"Shipping, Self Made",6,1,"Geneva, Switzerland",Switzerland,Married,2,Unknown,0,0,0,0,1
43,Rafaela Aponte-Diamant,rafaela-aponte-diamant,31,78,8,Switzerland,Shipping,Logistics,78,"Shipping, Self Made",6,1,"Geneva, Switzerland",Switzerland,Married,2,Unknown,0,0,0,0,1
45,Colin Zheng Huang,colin-zheng-huang,30,43,5,China,E-commerce,Technology,43,"E-commerce, Self Made",6,1,"Shanghai, China",China,Unknown,2,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",1,1,0,0,1
46,Reinhold Wuerth & family,reinhold-wuerth,29,87,9,Germany,Fasteners,Manufacturing,88,"Fasteners, Self Made",6,1,"Kuenzelsau, Germany",Germany,Married,3,Unknown,0,0,0,0,1
47,Lee Shau Kee,lee-shau-kee,29,95,10,Hong Kong,Real estate,Real Estate,95,"Real estate, Self Made",6,1,"Hong Kong, Hong Kong",Hong Kong,Divorced,5,Unknown,0,0,0,0,1
48,Jeff Yass,jeff-yass,28,64,7,United States,"Trading, investments",Finance & Investments,65,"Trading, investments, Self Made",8,1,"Haverford, Pennsylvania",United States,Married,4,"Bachelor of Science, SUNY Binghamton",1,0,0,0,1
49,Jim Simons,jim-simons,28,84,9,United States,Hedge funds,Finance & Investments,85,"Hedge funds, Self Made",8,4,"East Setauket, New York",United States,Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",1,0,1,0,1
50,Stephen Schwarzman,stephen-schwarzman,27,76,8,United States,Investments,Finance & Investments,76,"Investments, Self Made",8,2,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",1,1,0,0,1
51,Susanne Klatten,susanne-klatten,27,60,6,Germany,"BMW, pharmaceuticals",Automotive,61,"BMW, pharmaceuticals",6,1,"Bad Homburg, Germany",Germany,Married,3,"Master of Business Administration, International Institute for Management and Development",0,1,0,0,0
52,Gina Rinehart,gina-rinehart,27,69,7,Australia,Mining,Metals & Mining,69,Mining,6,1,"Perth, Australia",Australia,Widowed,4,Unknown,0,0,0,0,0
53,William Ding,william-ding,26,51,6,China,Online games,Technology,51,"Online games, Self Made",6,1,"Hangzhou, China",China,Unknown,2,"Bachelor of Arts/Science, University of Electronic Science and Technology of China",1,0,0,0,1
54,Germán Larrea Mota Velasco & family,german-larrea-mota-velasco,26,69,7,Mexico,Mining,Metals & Mining,69,Mining,6,1,"Mexico City, Mexico",Mexico,Married,2,Unknown,0,0,0,0,0
55,Shiv Nadar,shiv-nadar,25,77,8,India,software services,Technology,78,"software services, Self Made",6,1,"Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology",1,0,0,0,1
56,Low Tuck Kwong,low-tuck-kwong,25,74,8,Indonesia,Coal,Energy,75,"Coal, Self Made",6,1,"Jakarta, Indonesia",Indonesia,Married,2,Unknown,0,0,0,0,1
57,Thomas Peterffy,thomas-peterffy,25,78,8,United States,Discount brokerage,Finance & Investments,78,"Discount brokerage, Self Made",10,1,"Palm Beach, Florida",United States,Divorced,3,"Drop Out, New York University",0,0,0,1,1
58,Andrey Melnichenko & family,andrey-melnichenko,25,51,6,Russia,"Fertilizers, coal",Metals & Mining,51,"Fertilizers, coal, Self Made",6,1,"Ras Al Khaimah, United Arab Emirates",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",0,1,0,0,1
59,Stefan Quandt,stefan-quandt,24,56,6,Germany,BMW,Automotive,57,BMW,6,1,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe",0,0,0,0,0
60,MacKenzie Scott,mackenzie-scott,24,52,6,United States,Amazon,Technology,53,Amazon,3,5,"Seattle, Washington",United States,Divorced,4,"Bachelor of Arts/Science, Princeton University",1,0,0,0,0
61,R. Budi Hartono,r-budi-hartono,24,82,9,Indonesia,"Banking, tobacco",Finance & Investments,82,"Banking, tobacco",6,1,"Kudus, Indonesia",Indonesia,Married,3,Unknown,0,0,0,0,0
62,Vladimir Potanin,vladimir-potanin,23,62,7,Russia,Metals,Metals & Mining,62,"Metals, Self Made",6,1,"Moscow, Russia",Russia,Married,7,"Masters in Finance, Moscow Institute of International Relations",0,1,0,0,1
63,Jack Ma,jack-ma,23,58,6,China,E-commerce,Technology,58,"E-commerce, Self Made",6,1,"Hangzhou, China",China,Married,2,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",1,0,0,0,1
64,He Xiangjian & family,he-xiangjian,23,80,8,China,Home appliances,Manufacturing,81,"Home appliances, Self Made",6,1,"Foshan, China",China,Married,3,Unknown,0,0,0,0,1
65,Iris Fontbona & family,iris-fontbona,23,80,8,Chile,Mining,Metals & Mining,80,Mining,6,1,"Santiago, Chile",Chile,Widowed,3,Unknown,0,0,0,0,0
65,Michael Hartono,michael-hartono,23,83,9,Indonesia,"Banking, tobacco",Manufacturing,83,"Banking, tobacco",6,1,"Kudus, Indonesia",Indonesia,Married,4,Unknown,0,0,0,0,0
67,James Ratcliffe,james-ratcliffe,22,70,7,United Kingdom,Chemicals,Manufacturing,70,"Chemicals, Self Made",6,1,"London, United Kingdom",United Kingdom,Married,2,Unknown,0,0,0,0,1
68,Cyrus Poonawalla,cyrus-poonawalla,22,81,9,India,Vaccines,Healthcare,82,Vaccines,6,1,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",1,0,1,0,0
69,Masayoshi Son,masayoshi-son,22,65,7,Japan,"Internet, telecom",Telecom,66,"telecom, investments, Self Made",6,1,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, University of California, Berkeley",1,0,0,0,1
70,Vladimir Lisin,vladimir-lisin,22,66,7,Russia,"Steel, transport",Metals & Mining,67,"Steel, transport, Self Made",6,1,"Moscow, Russia",Russia,Married,3,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",1,0,1,0,1
71,Emmanuel Besnier,emmanuel-besnier,22,52,6,France,Cheese,Food & Beverage,52,Cheese,6,1,"Laval, France",France,Unknown,2,Unknown,0,0,0,0,0
72,Abigail Johnson,abigail-johnson,21,61,7,United States,Fidelity,Finance & Investments,61,Fidelity,4,1,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",1,1,0,0,0
72,Leonid Mikhelson & family,leonid-mikhelson,21,67,7,Russia,"Gas, chemicals",Energy,68,"Gas, chemicals, Self Made",6,1,"Moscow, Russia",Russia,Married,2,"Master of Science in Engineering, Kuybyshev Engineering and Construction Institute",0,1,0,0,1
74,Lukas Walton,lukas-walton,21,36,4,United States,Walmart,Fashion & Retail,36,Walmart,1,1,"Chicago, Illinois",United States,Married,2,"Bachelor of Arts/Science, Colorado College",1,0,0,0,0
74,Wang Wei,wang-wei,21,52,6,China,Package delivery,Service,52,"Package delivery, Self Made",6,1,"Shenzhen, China",China,Unknown,2,Unknown,0,0,0,0,1
76,Jensen Huang,jensen-huang-1,21,60,6,United States,Semiconductors,Technology,60,"Semiconductors, Self Made",8,1,"Los Altos, California",United States,Married,2,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",1,1,0,0,1
77,Leonard Lauder,leonard-lauder,21,90,9,United States,Estee Lauder,Fashion & Retail,90,Estee Lauder,5,3,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania",1,0,0,0,0
77,Takemitsu Takizaki,takemitsu-takizaki,21,77,8,Japan,Sensors,Manufacturing,78,"Sensors, Self Made",6,1,"Osaka, Japan",Japan,Married,2,Unknown,0,0,0,0,1
79,Alexey Mordashov & family,alexey-mordashov,20,57,6,Russia,"Steel, investments",Metals & Mining,57,"Steel, investments, Self Made",6,1,"Moscow, Russia",Russia,Married,7,"Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",0,1,0,0,1
80,Vagit Alekperov,vagit-alekperov,20,72,8,Russia,Oil,Energy,72,"Oil, Self Made",6,1,"Moscow, Russia",Russia,Married,1,"Master of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",0,1,0,0,1
81,"Thomas Frist, Jr. & family",thomas-frist-jr,20,84,9,United States,Hospitals,Healthcare,85,"Hospitals, Self Made",7,1,"Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",1,0,0,0,1
82,Andrew Forrest,andrew-forrest,19,61,7,Australia,Mining,Metals & Mining,61,"Mining, Self Made",6,1,"Perth, Australia",Australia,Separated,3,"Bachelor of Arts/Science, University of Western Australia; Ph.D, University of Western Australia",1,0,0,0,1
83,Ray Dalio,ray-dalio,19,73,8,United States,Hedge funds,Finance & Investments,74,"Hedge funds, Self Made",8,3,"Greenwich, Connecticut",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",1,1,0,0,1
84,Li Eric,li-eric,19,59,6,China,Automobiles,Automotive,60,"Automobiles, Self Made",6,1,"Hangzhou, China",China,Married,2,"Master of Science, Yanshan University",0,1,0,0,1
84,Wang Wenyin,wang-wenyin,19,55,6,China,"Mining, copper products",Metals & Mining,55,"Mining, copper products, Self Made",6,1,"Shenzhen, China",China,Unknown,2,Unknown,0,0,0,0,1
86,Eyal Ofer,eyal-ofer,18,72,8,Israel,"Real estate, shipping",Diversified,73,"Real estate, shipping",6,1,"Monte Carlo, Monaco",Israel,Married,4,Unknown,0,0,0,0,0
86,Qin Yinglin,qin-yinglin,18,57,6,China,Pig breeding,Food & Beverage,58,"Pig breeding, Self Made",6,1,"Nanyang, China",China,Married,1,Unknown,0,0,0,0,1
88,Wang Chuanfu,wang-chuanfu,18,57,6,China,"Batteries, automobiles",Automotive,57,"Batteries, automobiles, Self Made",6,1,"Shenzhen, China",China,Married,2,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",1,1,0,0,1
89,Harold Hamm & family,harold-hamm,18,77,8,United States,Oil & gas,Energy,77,"Oil & gas, Self Made",10,1,"Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School",0,0,0,0,1
89,David Tepper,david-tepper,18,65,7,United States,Hedge funds,Finance & Investments,65,"Hedge funds, Self Made",8,2,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",1,1,0,0,1
89,Gennady Timchenko,gennady-timchenko,18,70,7,Russia,"Oil, gas",Energy,70,"Oil, gas, Self Made",6,1,"Moscow, Russia",Russia,Married,3,"Master of Science in Engineering, Leningrad Mechanical Institute",0,1,0,0,1
92,Daniel Gilbert,daniel-gilbert,18,61,7,United States,Quicken Loans,Finance & Investments,61,"Quicken Loans, Self Made",8,1,"Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",1,0,0,0,1
93,Lakshmi Mittal,lakshmi-mittal,17,72,8,India,Steel,Metals & Mining,73,Steel,6,1,"London, United Kingdom",India,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta",1,0,0,0,0
94,Steve Cohen,steve-cohen,17,66,7,United States,Hedge funds,Finance & Investments,67,"Hedge funds, Self Made",8,3,"Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1,0,0,0,1
94,Carl Icahn,carl-icahn,17,87,9,United States,Investments,Finance & Investments,87,"Investments, Self Made",9,2,"Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",1,0,0,1,1
94,Savitri Jindal & family,savitri-jindal,17,73,8,India,Steel,Metals & Mining,73,Steel,6,1,"Hisar, India",India,Widowed,9,Unknown,0,0,0,0,0
97,Donald Bren,donald-bren,17,90,9,United States,Real estate,Real Estate,91,"Real estate, Self Made",8,4,"Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington",1,0,0,0,1
97,"John Menard, Jr.",john-menard-jr,17,83,9,United States,Home improvement stores,Fashion & Retail,83,"Home improvement stores, Self Made",9,1,"Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",1,0,0,0,1
99,Rupert Murdoch & family,rupert-murdoch,17,92,10,United States,"Newspapers, TV network",Media & Entertainment,92,"Newspapers, TV network",5,1,"New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",1,1,0,0,0
100,Vicky Safra & family,vicky-safra,16,70,7,Brazil,Banking,Finance & Investments,70,Banking,6,1,"Crans-Montana, Switzerland",Brazil,Widowed,4,Unknown,0,0,0,0,0
101,"Theo Albrecht, Jr. & family",theo-albrecht-jr,16,72,8,Germany,"Aldi, Trader Joe's",Fashion & Retail,72,"Aldi, Trader Joe's",6,1,"Mulheim an der Ruhr, Germany",Germany,Unknown,1,Unknown,0,0,0,0,0
101,Renata Kellnerova & family,renata-kellnerova,16,55,6,Czech Republic,"Finance, telecommunications",Finance & Investments,56,"Finance, telecommunications",6,1,"Prague, Czech Republic",Czech Republic,Widowed,4,Unknown,0,0,0,0,0
103,Li Xiting,li-xiting,16,72,8,Singapore,medical devices,Healthcare,72,"medical devices, Self Made",6,1,"Shenzhen, China",Singapore,Unknown,2,"Bachelor of Science, University of Science and Technology of China",1,0,0,0,1
104,Stefan Persson,stefan-persson,16,75,8,Sweden,H&M,Fashion & Retail,75,H&M,6,1,"Stockholm, Sweden",Sweden,Married,3,"Associate in Arts/Science, University of Stockholm",0,0,0,0,0
104,Eric Schmidt,eric-schmidt,16,67,7,United States,Google,Technology,68,"Google, Self Made",6,2,"Atherton, California",United States,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",1,1,1,0,1
106,Michael Platt,michael-platt,16,55,6,United Kingdom,Hedge funds,Finance & Investments,55,"Hedge funds, Self Made",6,1,"Geneva, Switzerland",United Kingdom,Unknown,2,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics",1,0,0,0,1
107,Pang Kang,pang-kang,15,67,7,China,Soy sauce,Food & Beverage,67,"Soy sauce, Self Made",6,1,"Foshan, China",China,Unknown,2,Unknown,0,0,0,0,1
108,Karl Albrecht Jr. & family,karl-albrecht-jr,15,65,0,Germany,Supermarkets,Fashion & Retail,65,Supermarkets,6,1,Germany,Germany,Unknown,2,Unknown,0,0,0,0,0
108,Beate Heister,beate-heister,15,65,0,Germany,Supermarkets,Fashion & Retail,65,Supermarkets,6,1,Unknown,Germany,Unknown,2,Unknown,0,0,0,0,0
108,Jorge Paulo Lemann & family,jorge-paulo-lemann,15,83,9,Brazil,Beer,Food & Beverage,84,"Beer, Self Made",6,1,"Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University",1,0,0,0,1
108,Peter Woo,peter-woo,15,76,8,Hong Kong,Real estate,Real Estate,76,Real estate,6,1,"Hong Kong, Hong Kong",Hong Kong,Married,3,"Master of Business Administration, Columbia Business School",0,1,0,0,0
112,Dilip Shanghvi,dilip-shanghvi,15,67,7,India,Pharmaceuticals,Healthcare,67,"Pharmaceuticals, Self Made",6,1,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",1,0,0,0,1
