Rank,Name_Org,Forbes_ID,Net_Worth_($B),age,Age_Range_How_Old,Country_Working_In,Source_Of_WealthCompany,Industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
113,Robert Pera,robert-pera,15,45,5,United States,Wireless networking,Technology,45,"Wireless networking, Self Made",8,1,"San Jose, California",United States,Single,2,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",1,1,0,0,1
114,Radhakishan Damani,radhakishan-damani-1,15,68,7,India,"Retail, investments",Fashion & Retail,68,"Retail, investments, Self Made",6,1,"Mumbai, India",India,Married,3,Unknown,0,0,0,0,1
115,Huang Shilin,huang-shilin,15,56,6,China,Batteries,Automotive,56,"Batteries, Self Made",6,1,"Ningde, China",China,Unknown,2,"Bachelor of Technology, Hefei University of Technology",1,0,0,0,1
116,Dhanin Chearavanont,dhanin-chearavanont,14,83,9,Thailand,Diversified,Diversified,84,Diversified,6,1,"Bangkok, Thailand",Thailand,Widowed,5,Unknown,0,0,0,0,0
116,David Green & family,david-green,14,81,9,United States,Retail,Fashion & Retail,81,"Retail, Self Made",10,2,"Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School",0,0,0,0,1
118,Charoen Sirivadhanabhakdi,charoen-sirivadhanabhakdi,14,78,8,Thailand,"Alcohol, real estate",Food & Beverage,79,"Alcohol, real estate, Self Made",6,1,"Bangkok, Thailand",Thailand,Widowed,5,Unknown,0,0,0,0,1
119,Charlene de Carvalho-Heineken & family,charlene-de-carvalho-heineken,14,68,7,Netherlands,Heineken,Food & Beverage,69,Heineken,6,1,"London, United Kingdom",Netherlands,Married,5,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",1,0,0,0,0
120,Xu Hang,xu-hang,14,56,6,Hong Kong,Medical devices,Healthcare,61,"Medical devices, Self Made",6,1,"Shenzhen, China",Hong Kong,Unknown,2,"EMBA, Ceibs; Bachelor of Engineering, Tsinghua University; Master of Science in Engineering, Tsinghua University",1,1,0,0,1
121,Wei Jianjun & family,wei-jianjun,14,59,6,China,Automobiles,Automotive,59,"Automobiles, Self Made",6,1,"Baoding, China",China,Married,2,"Bachelor of Arts/Science, Hebei Province",1,0,0,0,1
122,Alisher Usmanov,alisher-usmanov,14,69,7,Russia,"Steel, telecom, investments",Metals & Mining,69,"Steel, telecom, investments, Self Made",6,1,"Tashkent, Uzbekistan",Russia,Divorced,2,"Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",0,1,0,0,1
123,Goh Cheng Liang,goh-cheng-liang,14,95,10,Singapore,Paints,Manufacturing,96,"Paints, Self Made",6,1,"Singapore, Singapore",Singapore,Widowed,3,Unknown,0,0,0,0,1
124,Kumar Birla,kumar-birla,14,55,6,India,Commodities,Diversified,56,Commodities,6,1,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai",1,1,0,0,0
124,Aliko Dangote,aliko-dangote,14,65,7,Nigeria,"Cement, sugar",Manufacturing,66,"Cement, sugar, Self Made",6,1,"Lagos, Nigeria",Nigeria,Divorced,3,"Bachelor of Arts/Science, Al-Azhar University",1,0,0,0,1
126,Kwong Siu-hing,kwong-siu-hing,14,93,10,Hong Kong,Real estate,Real Estate,93,Real estate,6,1,"Hong Kong, Hong Kong",Hong Kong,Widowed,4,Unknown,0,0,0,0,0
127,Idan Ofer,idan-ofer,14,67,7,Israel,Shipping,Diversified,67,Shipping,6,1,"London, United Kingdom",Israel,Married,5,Unknown,0,0,0,0,0
128,Chen Bang,chen-bang,13,57,6,China,Hospitals,Healthcare,57,"Hospitals, Self Made",6,1,"Changsha, China",China,Married,2,"Master of Business Administration, Hunan University",0,1,0,0,1
128,Lui Che Woo,lui-che-woo,13,94,10,Hong Kong,Casinos/hotels,Gambling & Casinos,94,"Casinos/hotels, Self Made",6,1,"Hong Kong, Hong Kong",Hong Kong,Married,5,Unknown,0,0,0,0,1
130,John Fredriksen,john-fredriksen,13,78,8,Cyprus,Shipping,Logistics,78,"Shipping, Self Made",6,1,"London, United Kingdom",Cyprus,Widowed,2,Unknown,0,0,0,0,1
130,Diane Hendricks,diane-hendricks,13,76,8,United States,Building supplies,Construction & Engineering,76,"Building supplies, Self Made",9,1,"Afton, Wisconsin",United States,Widowed,7,"Diploma, High School",0,0,0,0,1
130,Jan Koum,jan-koum,13,47,5,United States,WhatsApp,Technology,47,"WhatsApp, Self Made",10,2,"Atherton, California",United States,Single,2,"Drop Out, San Jose State University",0,0,0,1,1
133,Jerry Jones,jerry-jones,13,80,8,United States,Dallas Cowboys,Sports,80,"Dallas Cowboys, Self Made",8,1,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas",1,1,0,0,1
133,George Kaiser,george-kaiser,13,80,8,United States,"Oil & gas, banking",Energy,81,"Oil & gas, banking",5,4,"Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",1,1,0,0,0
133,Joseph Lau,joseph-lau,13,71,8,Hong Kong,Real estate,Real Estate,72,"Real estate, Self Made",6,1,"Hong Kong, Hong Kong",Hong Kong,Divorced,6,Unknown,0,0,0,0,1
136,Lu Xiangyang,lu-xiangyang,13,60,6,China,"Automobiles, batteries",Automotive,60,"Automobiles, batteries, Self Made",6,1,"Guangzhou, China",China,Married,2,Unknown,0,0,0,0,1
137,Harry Triguboff,harry-triguboff,13,90,9,Australia,Real estate,Real Estate,90,"Real estate, Self Made",6,1,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of Leeds",1,0,0,0,1
138,Uday Kotak,uday-kotak,12,64,7,India,Banking,Finance & Investments,64,"Banking, Self Made",6,1,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai",1,1,0,0,1
138,Stanley Kroenke,stanley-kroenke,12,75,8,United States,"Sports, real estate",Sports,76,"Sports, real estate, Self Made",6,1,"Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",1,1,0,0,1
140,Mikhail Fridman,mikhail-fridman,12,58,6,Russia,"Oil, banking, telecom",Energy,59,"Oil, banking, telecom, Self Made",6,1,"London, United Kingdom",Russia,Divorced,5,"Master of Science, Moscow Institute of Steel and Alloys",0,1,0,0,1
141,Sarath Ratanavadi,sarath-ratanavadi,12,57,6,Thailand,Energy,Energy,58,"energy, Self Made",6,1,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Science in Engineering, Chulalongkorn University; Master of Science in Engineering, University of Southern California",1,1,0,0,1
142,Dang Yanbao,dang-yanbao,12,50,5,China,Coal,Metals & Mining,50,"Coal, Self Made",6,1,"Yinchuan, China",China,Unknown,2,"Master of Business Administration, Peking University",0,1,0,0,1
142,Jiang Rensheng & family,jiang-rensheng,12,69,7,China,Vaccines,Healthcare,69,"Vaccines, Self Made",6,1,"Chongqing, China",China,Married,1,"Associate in Arts/Science, Guilin Medical University",0,0,0,0,1
144,Shahid Khan,shahid-khan,12,72,8,United States,Auto parts,Automotive,73,"Auto parts, Self Made",10,1,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",1,0,0,0,1
145,Laurene Powell Jobs & family,laurene-powell-jobs,12,59,6,United States,"Apple, Disney",Technology,59,"Apple, Disney",2,1,"Palo Alto, California",United States,Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1,1,0,0,0
146,Robert Kuok,robert-kuok,11,99,10,Malaysia,"Palm oil, shipping, property",Diversified,99,"Palm oil, shipping, property, Self Made",6,1,"Hong Kong, Hong Kong",Malaysia,Married,8,"Bachelor of Arts/Science, Raffles College",1,0,0,0,1
147,Stephen Ross,stephen-ross,11,82,9,United States,Real estate,Real Estate,83,"Real estate, Self Made",8,2,"New York, New York",United States,Married,4,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University",1,1,0,0,1
148,Pavel Durov,pavel-durov,11,38,4,United Arab Emirates,Messaging app,Technology,38,"Messaging app, Self Made",6,1,"Dubai, United Arab Emirates",United Arab Emirates,Single,2,"Master of Science, Saint Petersburg State University",0,1,0,0,1
148,Andreas Struengmann & family,andreas-struengmann,11,73,8,Germany,Pharmaceuticals,Healthcare,73,"Pharmaceuticals, Self Made",6,1,"Tegernsee, Germany",Germany,Married,2,"Medical Doctor, University at Buffalo",0,0,0,0,1
148,Thomas Struengmann & family,thomas-struengmann,11,73,8,Germany,Pharmaceuticals,Healthcare,73,"Pharmaceuticals, Self Made",6,1,"Tegernsee, Germany",Germany,Married,4,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg",0,1,0,0,1
151,Liu Hanyuan,liu-hanyuan,11,59,6,China,Agribusiness,Food & Beverage,59,"Agribusiness, Self Made",6,1,"Chengdu, China",China,Married,2,"Bachelor of Arts/Science, Sichuan University",1,0,0,0,1
151,Michael Rubin,michael-rubin,11,50,5,United States,Online retail,Fashion & Retail,51,"Online retail, Self Made",8,1,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",0,0,0,1,1
153,Israel Englander,israel-englander,11,74,8,United States,Hedge funds,Finance & Investments,74,"Hedge funds, Self Made",9,1,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, New York University",1,0,0,0,1
153,Viatcheslav Kantor,viatcheslav-kantor,11,69,7,Russia,"Fertilizer, real estate",Manufacturing,69,"Fertilizer, real estate, Self Made",6,1,"Herzliya, Israel",Russia,Married,5,"Ph.D, Moscow Aviation University",0,0,0,0,1
153,Anthony Pratt,anthony-pratt,11,62,7,Australia,Manufacturing,Manufacturing,63,Manufacturing,6,1,"Melbourne, Australia",Australia,Unknown,2,"Bachelor of Arts/Economics, Monash University",1,0,0,0,0
153,Mikhail Prokhorov,mikhail-prokhorov,11,57,6,Russia,Investments,Finance & Investments,58,"Investments, Self Made",6,1,"Frauenfeld, Switzerland",Russia,Single,2,"Master of Economics, Moscow Institute of Finance",0,1,0,0,1
157,Giorgio Armani,giorgio-armani,11,88,9,Italy,Luxury goods,Fashion & Retail,89,"Luxury goods, Self Made",6,1,"Milan, Italy",Italy,Single,2,"Drop Out, University of Piacenza",0,0,0,1,1
157,Johann Rupert & family,johann-rupert,11,72,8,South Africa,Luxury goods,Fashion & Retail,73,Luxury goods,6,1,"Cape Town, South Africa",South Africa,Married,3,Unknown,0,0,0,0,0
159,Gong Hongjia & family,gong-hongjia,11,58,6,Hong Kong,Video surveillance,Finance & Investments,58,"Video surveillance, Self Made",6,1,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Huazhong University of Science and Technology",1,0,0,0,1
159,Zhang Zhidong,zhang-zhidong,11,51,6,China,Internet media,Technology,51,"Internet media, Self Made",6,1,"Shenzhen, China",China,Unknown,2,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology",1,1,0,0,1
161,Philip Anschutz,philip-anschutz,10,83,9,United States,"Energy, sports, entertainment",Finance & Investments,83,"Energy, sports, entertainment",5,3,"Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas",1,0,0,0,0
161,Judy Love & family,judy-love,10,85,9,United States,Gas stations,Fashion & Retail,86,"Gas stations, Self Made",9,1,"Oklahoma City, Oklahoma",United States,Widowed,4,"Drop Out, St. John's University (MN); Bachelor of Arts/Science, University of Central Oklahoma",1,0,0,1,1
161,Ricardo Salinas Pliego & family,ricardo-salinas-pliego,10,67,7,Mexico,"Retail, media",Fashion & Retail,67,"Retail, media",6,1,"Mexico City, Mexico",Mexico,Married,6,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey",1,1,0,0,0
164,Donald Newhouse,donald-newhouse,10,93,10,United States,Media,Media & Entertainment,94,Media,5,2,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University",0,0,0,1,0
165,Robert Kraft,robert-kraft,10,81,9,United States,"Manufacturing, New England Patriots",Sports,82,"Manufacturing, New England Patriots, Self Made",8,3,"Brookline, Massachusetts",United States,"Widowed, Remarried",4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School",1,1,0,0,1
165,Marcel Herrmann Telles,marcel-herrmann-telles,10,73,8,Brazil,Beer,Food & Beverage,73,"Beer, Self Made",6,1,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",1,0,0,0,1
167,Suleiman Kerimov & family,suleiman-kerimov-family,10,57,6,Russia,Gold,Finance & Investments,57,"Gold, Self Made",6,1,"Moscow, Russia",Russia,Married,3,"Master of Economics, Dagestan State University",0,1,0,0,1
167,Chris Xu,chris-xu,10,39,4,China,E-commerce,Fashion & Retail,39,"E-commerce, Self Made",6,1,"Guangzhou, China",China,Unknown,2,"Bachelor of Science, Qingdao University",1,0,0,0,1
167,Changpeng Zhao,changpeng-zhao,10,45,5,Canada,Cryptocurrency exchange,Finance & Investments,45,"Cryptocurrency exchange, Self Made",6,1,"Dubai, United Arab Emirates",Canada,Unknown,2,Unknown,0,0,0,0,1
170,Andrew Beal,andrew-beal,10,70,7,United States,"Banks, real estate",Finance & Investments,70,"Banks, real estate, Self Made",8,1,"Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University",0,0,0,1,1
171,Mike Cannon-Brookes,mike-cannon-brookes,10,43,5,Australia,Software,Technology,43,"Software, Self Made",6,1,"Sydney, Australia",Australia,Married,4,"Bachelor of Arts/Science, University of New South Wales",1,0,0,0,1
171,Carl Cook,carl-cook,10,60,6,United States,Medical devices,Healthcare,61,Medical devices,3,1,"Bloomington, Indiana",United States,Married,2,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",1,1,0,0,0
171,David Duffield,david-duffield,10,82,9,United States,Business software,Technology,82,"Business software, Self Made",8,3,"Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",1,1,0,0,1
171,Jeffery Hildebrand,jeffery-hildebrand,10,64,7,United States,Oil,Energy,64,"Oil, Self Made",8,2,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",1,1,0,0,1
171,Viktor Rashnikov,viktor-rashnikov,10,74,8,Russia,Steel,Manufacturing,74,"Steel, Self Made",6,1,"Magnitogorsk, Russia",Russia,Married,2,"Master of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute",0,1,0,0,1
171,Eduardo Saverin,eduardo-saverin,10,41,5,Brazil,Facebook,Technology,41,"Facebook, Self Made",6,1,"Singapore, Singapore",Brazil,Married,1,"Bachelor of Arts/Science, Harvard University",1,0,0,0,1
171,Georg Schaeffler,georg-schaeffler,10,58,6,Germany,Auto parts,Automotive,58,Auto parts,6,1,"Herzogenaurach, Germany",Germany,Divorced,4,Unknown,0,0,0,0,0
171,Christy Walton,christy-walton,10,74,8,United States,Walmart,Fashion & Retail,74,Walmart,1,1,"Jackson, Wyoming",United States,Widowed,1,"High School Graduate, High School",0,0,0,0,0
179,Scott Farquhar,scott-farquhar,10,43,5,Australia,Software,Technology,43,"Software, Self Made",6,1,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of New South Wales",1,0,0,0,1
179,Quek Leng Chan,quek-leng-chan,10,81,9,Malaysia,"Banking, property",Diversified,82,"Banking, property",6,1,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"LLB, Middle Temple",0,0,0,0,0
179,Wu Yajun,wu-yajun,10,59,6,China,Real estate,Real Estate,59,"Real estate, Self Made",6,1,"Beijing, China",China,Divorced,1,"Bachelor of Engineering, Northwestern Polytechnical University",1,0,0,0,1
182,Autry Stephens,autry-stephens,10,85,9,United States,Oil,Energy,85,"Oil, Self Made",9,1,"Midland, Texas",United States,Married,2,"Master of Science, University of Texas, Austin",0,1,0,0,1
183,Liu Yongxing,liu-yongxing,9,74,8,China,Diversified,Service,75,"Diversified, Self Made",6,1,"Shanghai, China",China,Married,1,Unknown,0,0,0,0,1
184,Vinod Adani,vinod-adani,9,74,8,Cyprus,"Infrastructure, commodities",Diversified,74,"Infrastructure, commodities, Self Made",6,1,"Dubai, United Arab Emirates",Cyprus,Married,2,Unknown,0,0,0,0,1
184,Nicolas Puech,nicolas-puech,9,80,8,France,Hermes,Fashion & Retail,80,Hermes,6,1,"Martigny, Switzerland",France,Unknown,2,Unknown,0,0,0,0,0
184,"Jacques Saadé, Jr.",jacques-saade-jr,9,51,6,France,Shipping,Logistics,52,Shipping,6,1,"Marseille, France",France,Unknown,2,Unknown,0,0,0,0,0
184,Rodolphe Saadé,rodolphe-saade,9,53,6,France,Shipping,Logistics,53,Shipping,6,1,"Marseille, France",France,Unknown,2,"Bachelor of Arts/Science, Concordia University",1,0,0,0,0
184,Tanya Saadé Zeenny,tanya-saade-zeenny,9,55,6,France,Shipping,Logistics,55,Shipping,6,1,"Marseille, France",France,Married,1,Unknown,0,0,0,0,0
184,Melker Schorling & family,melker-schorling,9,75,8,Sweden,Investments,Finance & Investments,76,"Investments, Self Made",6,1,"Stockholm, Sweden",Sweden,Married,2,"Master of Business Administration, Gothenburg University",0,1,0,0,1
190,Andrei Guriev & family,andrei-guriev-family,9,63,7,Russia,Fertilizers,Manufacturing,63,"Fertilizers, Self Made",6,1,"Moscow, Russia",Russia,Married,2,"Master, Saint Petersburg Mining University; Bachelor of Arts/Science, State Central Institute of Physical Culture",1,1,0,0,1
190,Michael Kim,michael-kim,9,59,6,United States,Private equity,Finance & Investments,59,"Private equity, Self Made",7,1,"Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College",1,1,0,0,1
190,Lei Jun,lei-jun,9,53,6,China,Smartphones,Technology,53,"Smartphones, Self Made",6,1,"Beijing, China",China,Married,2,"Bachelor of Science in Engineering, Wuhan University",1,0,0,0,1
190,Friedhelm Loh,friedhelm-loh,9,76,8,Germany,Manufacturing,Manufacturing,77,Manufacturing,6,1,"Haiger, Germany",Germany,Married,3,Unknown,0,0,0,0,0
190,Sun Piaoyang,sun-piaoyang,9,64,7,China,Pharmaceuticals,Healthcare,64,"Pharmaceuticals, Self Made",6,1,"Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",1,0,1,0,1
195,Rick Cohen & family,rick-cohen,9,70,7,United States,Warehouse automation,Technology,71,Warehouse automation,5,1,"Keene, New Hampshire",United States,Married,3,Unknown,0,0,0,0,0
195,Jin Baofang,jin-baofang,9,70,7,China,Solar panels,Energy,70,"Solar panels, Self Made",6,1,"Xingtai, China",China,Married,2,"Associate in Arts/Science, Hebei Broadcast and Television University",0,0,0,0,1
195,Luo Liguo & family,luo-liguo,9,67,7,China,Chemicals,Manufacturing,67,"Chemicals, Self Made",6,1,"Ningbo, China",China,Married,2,Unknown,0,0,0,0,1
195,Marijke Mars,marijke-mars,9,58,6,United States,"Candy, pet food",Food & Beverage,59,"Candy, pet food",2,1,"Los Angeles, California",United States,Divorced,2,"Bachelor of Arts/Science, Duke University",1,0,0,0,0
195,Pamela Mars,pamela-mars,9,62,7,United States,"Candy, pet food",Food & Beverage,63,"Candy, pet food",2,1,"Alexandria, Virginia",United States,Married,3,"Bachelor of Arts/Science, Vassar College",1,0,0,0,0
195,Valerie Mars,valerie-mars,9,64,7,United States,"Candy, pet food",Food & Beverage,64,"Candy, pet food",2,1,"New York, New York",United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University",1,1,0,0,0
195,Victoria Mars,victoria-mars,9,66,7,United States,"Candy, pet food",Food & Beverage,66,"Candy, pet food",2,1,"Philadelphia, Pennsylvania",United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",1,1,0,0,0
202,Vincent Bolloré & family,vincent-bollore,9,71,8,France,Investments,Finance & Investments,71,Investments,6,1,"Paris, France",France,Married,4,"LLB, Universite Paris X Nanterre",0,0,0,0,0
202,Jim Pattison,jim-pattison,9,94,10,Canada,Diversified,Diversified,94,"Diversified, Self Made",6,1,"Vancouver, Canada",Canada,Married,3,Unknown,0,0,0,0,1
204,Ernesto Bertarelli,ernesto-bertarelli,9,57,6,Switzerland,"Biotech, investments",Healthcare,57,"Biotech, investments",6,1,"Gstaad, Switzerland",Switzerland,Divorced,3,"Bachelor of Arts/Science, Babson College; Master of Business Administration, Harvard University",1,1,0,0,0
204,Wang Xing,wang-xing,9,44,5,China,E-commerce,Technology,44,"E-commerce, Self Made",6,1,"Beijing, China",China,Unknown,2,"Graduate, Tsinghua University",0,0,0,0,1
206,Brian Chesky,brian-chesky,9,41,5,United States,Airbnb,Technology,41,"Airbnb, Self Made",8,1,"San Francisco, California",United States,Single,2,"Bachelor of Arts/Science, Rhode Island School of Design",1,0,0,0,1
206,James Dyson,james-dyson,9,75,8,United Kingdom,Vacuums,Manufacturing,76,"Vacuums, Self Made",6,1,"Gloucestershire, United Kingdom",United Kingdom,Married,3,Unknown,0,0,0,0,1
208,Roman Abramovich & family,roman-abramovich,9,56,6,Russia,"Steel, investments",Diversified,56,"Steel, investments, Self Made",6,1,"Moscow, Russia",Russia,Married,7,"Master, Moscow State Law Academy",0,1,0,0,1
208,Antonia Ax:son Johnson & family,antonia-axson-johnson,9,79,8,Sweden,Diversified,Diversified,79,Diversified,6,1,"Stockholm, Sweden",Sweden,Married,4,"Master of Arts, University of Stockholm",0,1,0,0,0
208,Daniel Kretinsky,daniel-kretinsky,9,47,5,Czech Republic,"Energy, investments",Energy,48,"Energy, investments, Self Made",6,1,"Prague, Czech Republic",Czech Republic,In Relationship,1,"Law Degree, Masaryk University",0,0,0,0,1
208,John Malone,john-malone,9,82,9,United States,Cable television,Media & Entertainment,82,"Cable television, Self Made",8,3,"Elizabeth, Colorado",United States,Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University",1,1,1,0,1
208,Azim Premji,azim-premji,9,77,8,India,Software services,Technology,78,Software services,6,1,"Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Stanford University",1,0,0,0,0
208,Charles Schwab,charles-schwab,9,85,9,United States,Discount brokerage,Finance & Investments,86,"Discount brokerage, Self Made",8,3,"Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",1,1,0,0,1
208,Eric Smidt,eric-smidt,9,63,7,United States,Hardware stores,Fashion & Retail,63,"Hardware stores, Self Made",10,1,"Beverly Hills, California",United States,Married,2,Unknown,0,0,0,0,1
215,David Cheriton,david-cheriton,9,72,8,Canada,Google,Technology,72,"Google, Self Made",6,1,"Palo Alto, California",Canada,Divorced,4,"Bachelor of Arts/Science, University of British Columbia; Doctorate, University of Waterloo; Master of Science, University of Waterloo",1,1,1,0,1
215,Ivan Glasenberg,ivan-glasenberg,9,66,7,Switzerland,Mining,Metals & Mining,66,"Mining, Self Made",6,1,"Ruschlikon, Switzerland",Switzerland,Married,2,"Master of Business Administration, Marshall School of Business; Bachelor of Arts/Science, University of Witwatersrand",1,1,0,0,1
215,Alexander Otto,alexander-otto,9,55,6,Germany,Real estate,Real Estate,56,Real estate,6,1,"Hamburg, Germany",Germany,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College",1,1,0,0,0
215,Anthony von Mandl,anthony-von-mandl,9,73,8,Canada,Alcoholic beverages,Food & Beverage,73,"Alcoholic beverages, Self Made",8,1,"Vancouver, Canada",Canada,Unknown,2,"Bachelor of Arts/Science, University of British Columbia",1,0,0,0,1
215,Wang Liping & family,wang-liping,9,57,6,China,Hydraulic machinery,Manufacturing,57,"Hydraulic machinery, Self Made",6,1,"Changzhou, China",China,Married,2,Unknown,0,0,0,0,1
220,Finn Rausing,finn-rausing,8,68,7,Sweden,Packaging,Food & Beverage,68,Packaging,6,1,"London, United Kingdom",Sweden,Unknown,2,Unknown,0,0,0,0,0
220,Jorn Rausing,jorn-rausing,8,63,7,Sweden,Packaging,Food & Beverage,63,Packaging,6,1,"Surrey, United Kingdom",Sweden,Unknown,2,Unknown,0,0,0,0,0
